run_id,condition,response,task_id,complexity,group
46,4,6,48.0,high,D
46,4,5,55.0,high,D
46,4,6,61.0,high,D
46,4,1,34.0,medium,D
46,4,2,40.0,medium,D
46,4,5,42.0,high,D
4,3,7,38.0,medium,C
4,3,4,5.0,low,C
4,3,3,4.0,low,C
4,3,2,15.0,low,C
4,3,4,32.0,medium,C
4,3,1,36.0,medium,C
4,3,5,10.0,low,C
4,3,5,63.0,high,C
4,3,2,27.0,medium,C
4,3,6,58.0,high,C
4,3,4,56.0,high,C
4,3,4,21.0,medium,C
4,3,4,20.0,medium,C
4,3,3,52.0,high,C
4,3,2,41.0,high,C
4,3,5,45.0,high,C
45,3,5,10.0,low,C
45,3,6,58.0,high,C
45,3,5,41.0,high,C
45,3,4,5.0,low,C
45,3,5,45.0,high,C
45,3,3,27.0,medium,C
45,3,3,36.0,medium,C
45,3,3,52.0,high,C
45,3,5,38.0,medium,C
45,3,4,21.0,medium,C
45,3,4,32.0,medium,C
45,3,5,63.0,high,C
45,3,4,20.0,medium,C
45,3,3,4.0,low,C
45,3,3,56.0,high,C
45,3,2,15.0,low,C
44,2,2,35.0,medium,B
44,2,3,37.0,medium,B
44,2,2,14.0,low,B
44,2,4,43.0,high,B
44,2,7,8.0,low,B
44,2,1,26.0,medium,B
44,2,1,64.0,high,B
44,2,2,31.0,medium,B
44,2,6,17.0,medium,B
44,2,2,1.0,low,B
44,2,7,54.0,high,B
44,2,5,47.0,high,B
44,2,6,60.0,high,B
44,2,4,23.0,medium,B
44,2,3,51.0,high,B
44,2,2,9.0,low,B
47,2,2,51.0,high,B
47,2,5,43.0,high,B
47,2,5,8.0,low,B
47,2,4,47.0,high,B
47,2,5,35.0,medium,B
47,2,2,31.0,medium,B
47,2,4,9.0,low,B
47,2,4,60.0,high,B
47,2,3,1.0,low,B
47,2,3,23.0,medium,B
47,2,6,26.0,medium,B
47,2,5,37.0,medium,B
47,2,5,54.0,high,B
47,2,3,64.0,high,B
47,2,4,17.0,medium,B
47,2,4,14.0,low,B
48,3,4,20.0,medium,C
48,3,7,36.0,medium,C
48,3,5,52.0,high,C
48,3,2,27.0,medium,C
48,3,4,21.0,medium,C
48,3,5,63.0,high,C
48,3,6,45.0,high,C
48,3,2,41.0,high,C
48,3,5,58.0,high,C
48,3,5,32.0,medium,C
48,3,4,5.0,low,C
48,3,6,38.0,medium,C
48,3,6,10.0,low,C
48,3,2,15.0,low,C
48,3,3,4.0,low,C
48,3,3,56.0,high,C
5,2,5,26.0,medium,B
5,2,3,60.0,high,B
5,2,5,47.0,high,B
5,2,5,17.0,medium,B
5,2,4,14.0,low,B
5,2,7,8.0,low,B
5,2,2,64.0,high,B
5,2,5,43.0,high,B
5,2,5,54.0,high,B
5,2,1,31.0,medium,B
5,2,1,9.0,low,B
5,2,2,51.0,high,B
5,2,5,37.0,medium,B
5,2,5,1.0,low,B
5,2,3,23.0,medium,B
5,2,6,35.0,medium,B
51,4,4,16.0,low,D
51,4,2,57.0,high,D
51,4,4,3.0,low,D
51,4,2,28.0,medium,D
51,4,3,40.0,medium,D
51,4,6,61.0,high,D
51,4,5,24.0,medium,D
51,4,5,55.0,high,D
51,4,5,42.0,high,D
51,4,6,6.0,low,D
51,4,3,18.0,medium,D
51,4,1,34.0,medium,D
51,4,4,49.0,high,D
51,4,7,29.0,medium,D
51,4,7,12.0,low,D
51,4,5,48.0,high,D
50,1,5,30.0,medium,A
50,1,4,11.0,low,A
50,1,4,46.0,high,A
50,1,2,50.0,high,A
50,1,2,22.0,medium,A
50,1,5,2.0,low,A
50,1,3,53.0,high,A
50,1,3,44.0,high,A
50,1,6,62.0,high,A
50,1,5,19.0,medium,A
50,1,3,39.0,medium,A
50,1,5,59.0,high,A
50,1,6,25.0,medium,A
50,1,1,7.0,low,A
50,1,5,33.0,medium,A
50,1,4,13.0,low,A
52,2,2,14.0,low,B
52,2,3,9.0,low,B
52,2,2,37.0,medium,B
52,2,3,51.0,high,B
52,2,5,17.0,medium,B
52,2,7,26.0,medium,B
52,2,4,43.0,high,B
52,2,5,60.0,high,B
52,2,4,64.0,high,B
52,2,6,35.0,medium,B
52,2,3,23.0,medium,B
52,2,6,8.0,low,B
52,2,2,31.0,medium,B
52,2,4,54.0,high,B
52,2,4,47.0,high,B
52,2,3,1.0,low,B
49,1,5,13.0,low,A
49,1,5,2.0,low,A
49,1,5,30.0,medium,A
49,1,3,50.0,high,A
49,1,5,59.0,high,A
49,1,4,22.0,medium,A
49,1,2,46.0,high,A
49,1,4,19.0,medium,A
49,1,1,7.0,low,A
49,1,4,53.0,high,A
49,1,5,33.0,medium,A
49,1,6,62.0,high,A
49,1,6,25.0,medium,A
49,1,2,44.0,high,A
49,1,2,39.0,medium,A
49,1,4,11.0,low,A
53,3,5,45.0,high,C
53,3,2,15.0,low,C
53,3,5,10.0,low,C
53,3,2,4.0,low,C
53,3,6,63.0,high,C
53,3,3,27.0,medium,C
53,3,6,38.0,medium,C
53,3,3,36.0,medium,C
53,3,3,32.0,medium,C
53,3,2,52.0,high,C
53,3,4,41.0,high,C
53,3,5,58.0,high,C
53,3,4,5.0,low,C
53,3,4,20.0,medium,C
53,3,3,56.0,high,C
53,3,4,21.0,medium,C
54,1,5,59.0,high,A
54,1,4,30.0,medium,A
54,1,6,46.0,high,A
54,1,3,22.0,medium,A
54,1,4,11.0,low,A
54,1,7,25.0,medium,A
54,1,1,50.0,high,A
54,1,2,44.0,high,A
54,1,1,7.0,low,A
54,1,2,53.0,high,A
54,1,7,62.0,high,A
54,1,6,19.0,medium,A
54,1,4,13.0,low,A
54,1,3,39.0,medium,A
54,1,5,2.0,low,A
54,1,5,33.0,medium,A
58,4,2,40.0,medium,D
58,4,7,12.0,low,D
58,4,4,3.0,low,D
58,4,5,42.0,high,D
58,4,7,29.0,medium,D
58,4,6,24.0,medium,D
58,4,5,48.0,high,D
58,4,2,49.0,high,D
58,4,3,18.0,medium,D
58,4,6,6.0,low,D
58,4,6,55.0,high,D
58,4,1,34.0,medium,D
58,4,6,61.0,high,D
58,4,2,57.0,high,D
58,4,4,16.0,low,D
58,4,2,28.0,medium,D
56,3,1,15.0,low,C
56,3,4,5.0,low,C
56,3,4,21.0,medium,C
56,3,5,32.0,medium,C
56,3,2,27.0,medium,C
56,3,4,20.0,medium,C
56,3,2,41.0,high,C
56,3,2,45.0,high,C
56,3,3,36.0,medium,C
56,3,6,63.0,high,C
56,3,3,56.0,high,C
56,3,5,38.0,medium,C
56,3,4,4.0,low,C
56,3,5,58.0,high,C
56,3,6,10.0,low,C
56,3,3,52.0,high,C
57,2,2,51.0,high,B
57,2,2,31.0,medium,B
57,2,2,64.0,high,B
57,2,4,23.0,medium,B
57,2,5,47.0,high,B
57,2,7,26.0,medium,B
57,2,2,1.0,low,B
57,2,5,17.0,medium,B
57,2,7,8.0,low,B
57,2,6,37.0,medium,B
